Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,14163.900391,14400.299805,14112.799805,14347.200195,14347.200195,27031980000
2019-01-03,14294.099609,14297.900391,14155.299805,14212.799805,14212.799805,21158720000
2019-01-04,14351.599609,14438.599609,14314.799805,14426.599609,14426.599609,23123720000
2019-01-07,14471.000000,14515.099609,14383.099609,14504.099609,14504.099609,25783200000
2019-01-08,14610.500000,14645.599609,14533.900391,14605.200195,14605.200195,26010090000
2019-01-09,14668.500000,14811.099609,14644.099609,14804.700195,14804.700195,26909310000
2019-01-10,14770.700195,14921.099609,14702.299805,14903.500000,14903.500000,26298400000
2019-01-11,14874.200195,14956.200195,14855.200195,14939.200195,14939.200195,24929950000
2019-01-14,14881.000000,14997.900391,14881.000000,14975.500000,14975.500000,22899450000
2019-01-15,15002.000000,15079.799805,14966.500000,15046.299805,15046.299805,24130060000
2019-01-16,15072.299805,15118.299805,15057.000000,15111.299805,15111.299805,24881680000
2019-01-17,15077.099609,15238.099609,15066.500000,15211.200195,15211.200195,25729850000
2019-01-18,15295.000000,15325.599609,15258.900391,15303.799805,15303.799805,29370220000
2019-01-21,15300.400391,15354.200195,15263.000000,15354.200195,15354.200195,9256250000
2019-01-22,15276.299805,15285.200195,15160.500000,15233.799805,15233.799805,22836330000
2019-01-23,15275.700195,15293.299805,15141.500000,15208.299805,15208.299805,21017450000
2019-01-24,15201.500000,15281.299805,15194.299805,15280.799805,15280.799805,20607530000
2019-01-25,15350.200195,15388.000000,15298.400391,15366.099609,15366.099609,21601440000
2019-01-28,15289.099609,15378.599609,15276.900391,15378.599609,15378.599609,22601030000
2019-01-29,15414.700195,15497.400391,15413.900391,15463.099609,15463.099609,23336480000
2019-01-30,15493.400391,15520.900391,15418.599609,15484.599609,15484.599609,23382550000
2019-01-31,15507.400391,15564.599609,15486.500000,15540.599609,15540.599609,28642220000
2019-02-01,15562.299805,15569.000000,15483.400391,15506.299805,15506.299805,22477730000
2019-02-04,15527.400391,15606.299805,15513.700195,15602.299805,15602.299805,24528440000
2019-02-05,15631.799805,15702.700195,15627.799805,15702.700195,15702.700195,21773250000
